"B/B/E/D#",
"D",
"A",
"B/B/B/A",
"C#m7",
"G#m7",
"A",
"B",
"C#m",
"C#m/C#m/C#m/F#m7",
"C#m7",
"",
"F#m7",
"",
"C#m7",
"",
"F#m7",
"",
"C#m7",
"",
"F#m7",
"",
"C#m7",
"",
"F#",
"",
"A",
"G#m7",
"C#m",
"C#m",
"F#m",
"G#m",
"F#m7",
"G#m7",
"A#dim",
"Am7",
"G#m7",
"A#dim",
"F#m7",
"F#dim",
"C#m",
"E/F",
"AM7",
"Am7",
"G#m7",
"C#7",
"F#m",
"F#m/C#m",
"B/B/C#m/D#",
"D",
"A",
"B",
"C#m",
"G#m7",
"A",
"B",
"C#m",
"",
"C#m",
"",
"F#m7",
"",
"C#m",
"",
"F#m7",
"C#m7",
"A",
"G#m7",
"C#m",
"",
"F#m7",
"G#m7",
"F#m7",
"G#m/F#m",
"A#dim",
"Am7",
"G#m7",
"A#dim",
"F#m7",
"Cdim",
"C#m",
"E/F",
"AM7",
"Am7",
"G#m7",
"C#7",
"F#m",
"E",
"B/B/A/Cdim",
"C#m",
"",
"D",
"",
"C#m",
"F#m/C#m",
"DM7",
"",
"A",
"G#m7",
"C#m",
"",
"F#m7",
"G#m7",
"F#m",
"G#m7",
"A#dim",
"Am7",
"G#m7",
"G",
"Fm7",
"F#m7",
"F#dim",
"C#m",
"E/F",
"AM7",
"Am7",
"G#m7",
"C#7",
"F#m",
"F#m/C#m",
"B/B/C#m/D#",
"D/E",
"A",
