"E","","","",
"A","","E","",
"F#m","B","C#m7","",
"A","","E","",
"F#m","E","","",
"A","","E","",
"F#m","B","E","",
"A","","E","",
"F#m","Bm","E","",
"A","","A","",
"F#m","","","",
"A","","","",
"E","","D","",
"C#m7","","","",
"F#m","","","C#m",
"D","","","",
"Dm","","","",
"C#m","","","",
"F#m7","","","",
"Bm7","","","",
"Dm","","","",
"A","","","",
"F#m","","","",
"Bm","","","E7",
"E7","","E7","",
"A","","E","",
"F#m","","C#m","",
"A","","E","",
"F#m","","E","",
"A","","E","",
"F#m","","C#m","",
"A","","E","",
"F#m","","E","",
"A","","C#m","",
"F#m","","E","",
"A","","E","",
"F#m","","E","",
"A","","E","",
"F#m","","E","",
"A","","E","",
"F#m","Bm","E","",
"A","","","",
"F#m7","","","",
"A","","","",
"E","","A","",
"C#m","","","",
"F#m","","","",
"D","","","",
"D","Dm","","",
"C#m7","","","A",
"F#m","","","",
"Bm","","","",
"Dm","","","",
"C#m","","","",
"F#7","","","",
"Bm7","","","E",
"E","","","",
"A","E","","",
"F#m","","C#m","",
"A","","E","",
"F#m","","E","",
"A","","E","",
"F#m","","C#m","",
"A","","E","",
"F#m","B","E7","",
"A","","E","",
"F#m","","C#m7","",
"A","","E","",
"F#m","Bm","E","",
"A","","E","",
"F#m","","E","",
"A","","E","",
"F#m","","E","",
"A","","C#m","",
"F#m","","E","",
"A","","C#m","",
"F#m","","E","",
"A","","E","",
"F#m","","E","",
"A","","E","",
"F#m","","E","",
"A","","E","",
"F#m","","E","",
"A","","E","",
"F#m","","E","",
"A","","C#m","",
"F#m","","E","",
"A","","E","",
"F#m","E","","",
"A","","E7","",
"F#m","","E","",
"A","","E","",
"F#m","Bm","E","",
"A","","E7","",
"Bm","","E7","",
"A","","E","",
"F#m","E","","",
"E","","","",
"E","","","",
"E","","","",
