"A","","","",
"B","","","",
"G#m7","","","",
"F#m7","","","",
"A","","","",
"G#m7","","","",
"G#m7","","","",
"A","","","",
"A","","","",
"B","","","",
"B","","E on G#","",
"F#m7","","","",
"A","","","",
"B","","","",
"G#m7","","","",
"A","","","",
"A","","","",
"B","","","",
"E on G#","","","",
"E","","G#m7","",
"A","","","",
"B","","","",
"F#m7","","","",
"F#m7","","","",
"F# on A#","","","",
"G#","","","",
"C#m","","","",
"G#","","G#7","",
"C#m7","","","",
"B","","","",
"F# on A#","","","",
"G#7","","","",
"F#","","","",
"B","","","",
"C#m7","","","",
"G#m","","","",
"C#m7","","","",
"A on B","","","",
"F# on A#","","","",
"G#","","","",
"F#m7","","","",
"F#m7","","","",
"A","","","",
"A","","","",
"D","","","",
"D","","E","",
"F#m7","","","",
"E","","","",
"D","","","",
"D","","","",
"F#m7","","","",
"F#m7","","","",
"G","","","",
"G","","","",
"F#m7","","","",
"E","","","",
"D on F#","","","",
"D on F#","","","",
"Bm7","","","",
"Bm7","","","",
"A","","","",
"B","","","",
"E on G#","","","",
"F#m7","","E on G#","",
"A","","","",
"E on G#","","","",
"F# on A#","","","",
"G# on C","","","",
"AM7","","","",
"B","","","",
"E on G#","","","",
"F#m7","","C#m7","",
"A","","","",
"E on G#","","","",
"F# on A#","","","",
"G#7","","","",
"AM7","","","",
"B","","","",
"E on G#","","","",
"E","","","",
"A","","","",
"E on G#","","","",
"F# on A#","","","",
"G# on C","","","",
"AM7","","","",
"B","","","",
"E on G#","","","",
"A","","E","",
"A","","","",
"E on G#","","","",
"F# on A#","","","",
"G#7","","","",
"C#m7","","","",
"A","","","",
"F#m7","","","",
"G#m7","","","",
"C#m7","","","",
"E","","","",
"C#m7","","F#m7","",
"B","","","",
"AM7","","","",
"A","","","",
"A","","","",
"A","","C#m7","",
"C#m7","","","",
"A","","","",
"A","","","",
"B","G#m7","","",
"G#m7","","","",
"C#m","","","",
"G#m","","","",
"C#m7","","A on C#","",
"B","","","",
"F# on A#","","","",
"G# on C","","C#m","",
"F#m7","","","",
"F#m","","","",
"C#m7","","","",
"G#m","","","",
"C#m7","","","",
"A on B","","B","",
"F# on A#","","","",
"G#","","","",
"F#m7","","","",
"F#m7","","","",
"A","","","",
"A","","","",
"D","","","",
"D","","E","",
"F#m7","","","",
"E","","","",
"D","","","",
"D","","","",
"F#m7","","","",
"F#m7","","","",
"G","","","",
"G","","","",
"F#m7","","","",
"E","","","",
"F#m","","","",
"F#m","","","",
"E","","","",
"D","","","",
"A","","","",
"B","","","",
"A","","G#m7","",
"F#m7","","E on G#","",
"A","","","",
"E on G#","","","",
"F# on A#","","","",
"G#7 on C","","","",
"AM7","","","",
"B","","","",
"E on G#","","","",
"F#m7","","","",
"A","","","",
"E on G#","","","",
"F# on A#","","","",
"G#7","","G#","",
"A","","","",
"B","","","",
"E on G#","","","",
"E","","","",
"A","","","",
"E on G#","","","",
"F# on A#","","","",
"G# on C","","","",
"A","","","",
"B","","","",
"E on G#","","","",
"E","","B","",
"A","","","",
"E on G#","","","",
"F# on A#","","","",
"G#7","","","",
"C#m7","","","",
"A","","","",
"F#m7","","","",
"G#m7","","","",
"C#m7","","","",
"A","","","",
"F#m7","","","",
"G#m7","","","",
"C#m7","","","",
"A","","","",
"F#m7","","","",
"C#m on G#","","","",
"C#m7","","","",
"A","","","",
"F#m7 on E","","","",
"E on D","","","",
"E on D","","","",
"E on D","","","",
